CO2pressure,Ts,H2Oppm,Oescbefore,Oesc,depv,regulationtimescale
20,280,17566.95387,1.20E+08,2.40E+08,0.02,8.44E+11
30,280,17567.3491,1.20E+08,2.40E+08,0.02,1.39E+12
40,280,17567.55373,1.20E+08,2.40E+08,0.02,1.93E+12
50,280,17567.67912,1.20E+08,2.40E+08,0.02,2.52E+12
60,280,17567.76393,1.20E+08,2.40E+08,0.02,3.13E+12
70,280,17567.82516,1.20E+08,2.40E+08,0.02,3.64E+12
80,280,17567.87146,1.20E+08,2.40E+08,0.02,4.33E+12
90,280,17567.90773,1.20E+08,2.40E+08,0.02,4.86E+12
100,280,17567.93689,1.20E+08,2.40E+08,0.02,5.61E+12
200,280,17568.07018,1.20E+08,2.40E+08,0.02,1.19E+13
300,280,17568.11572,1.20E+08,2.40E+08,0.02,1.81E+13
400,280,17568.13878,1.20E+08,2.40E+08,0.02,2.49E+13
500,280,17568.15274,1.20E+08,2.40E+08,0.02,3.23E+13
600,280,17568.16211,1.20E+08,2.40E+08,0.02,4.03E+13
700,280,17568.16886,1.20E+08,2.40E+08,0.02,4.66E+13
800,280,17568.17392,1.20E+08,2.40E+08,0.02,5.58E+13
900,280,17568.1779,1.20E+08,2.40E+08,0.02,6.21E+13
1.00E+03,280,17568.1811,1.20E+08,2.40E+08,0.02,6.82E+13
2.00E+03,280,17568.19568,1.20E+08,2.40E+08,0.02,1.57E+14
3.00E+03,280,17568.20068,1.20E+08,2.40E+08,0.02,2.46E+14
